name,reportsTo,description,responsibility,basicSkills,specificSkills,knowledge,interest,url
Human Resource Expert,9,"Human Resource Expert Human Resource Expert develop and implement strategies that help their employers select and retain appropriately qualified staff within that business sector. They recruit staff, prepare job advertisements, interview and short-list people, negotiate with employment agencies, and set up working conditions.","|Advising on and performing personnel functions relating to recruitment, placement, training staff performance, promotion, compensation and employee-management relations|Maintaining personnel records and associated human resource information systems|Studying and analysing jobs performed in an establishment, conducting interviews with workers, supervisors and the Management and writing detailed post, job and occupation descriptions from data obtained|Preparing occupational information booklets/pamphlets and occupational classification systems|Improving understanding and coordinating work execution|Performing related tasks","|Speaking - Proficiency in communicating effectively as well as convey information verbally and in a way that can understand.|Active Listening - Proficiency in giving full attention to what other people are saying, taking time to understand the points being made and asking questions as appropriate.|Reading Comprehension - Proficiency in understanding written sentences and paragraphs in work related documents.|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Writing - proficiency in communicating effectively in writing as appropriate for the needs of the audience.",|Administration Management - proficiency in the process of creating information systems and supervising its flow from and to others within an organization.|Performance Management - proficiency in corporate management tool that helps managers monitor and evaluate employees' work.|Talent Acquisition - proficiency in finding and acquiring skilled human labor for organizational needs and to meet any labor requirement.|Business Management - proficiency in managing the coordination and organization of business activities.|Personnel Management - proficiency in managing human resources.,"|Personnel Human Resources - Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relatons and negotiation, and personnel information systems|Clerical - Knowledge of administrative and clerical procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and other office procedures and terminology|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.","|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Conventional -Likes to involve in managing data, information, and processes.|Social -Likes to communicating and teaching people, often involve helping or providing service to others.",https://emasco.mohr.gov.my/masco/MASCO Code : 2423-12
Chief Information Officer,1,"Chief Information Officer create and direct strategic information technology long-term goals, policies and procedures. Determine the organization's long-term system requirements and the acquisition of the hardware needed to achieve organizational business objectives. Provide technical guidance on projects and direct the company to grow in the information technology industry.","|Directing the formulation of information technology strategies, policies and plans|Consulting with users, vendor's management, and technicians|Directing information technology operations, computer hardware integration, operating communications systems, software application and data processing|Setting priorities between system development, maintenance and operations|Assessing the use and needs of the organization's technology and suggests improvements such as upgrading computer hardware and software|Controlling budget allocation and departmental or organizational expenses|Monitoring the selection, training, and performance of staff|Representing the department in its dealings with other parts of the organization or with external agencies|Performing related tasks|Managing, planning, scheduling and monitoring the assignments of other employees","|Basic ICT - proficiency in using computers to retrieve, access, store, produce, present and exchange information.|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Reading Comprehension - Proficiency in understanding written sentences and paragraphs in work related documents.|Decision Making - proficiency in choosing between two or more alternatives.|Monitoring - Proficiency in monitoring/assessing performance of yourself, other individuals, or organisations to make improvements or take corrective action.","|Database Administration - proficiency in managing and maintaining database management systems (DBMS) software.|ICT Literacy - ability to search, analyze, evaluate, organize, create, use, manage and communicate information to solve ICT problems.|Machine Learning - <p>proficiency in application of artificial intelligence (AI) that provides systems the ability to automatically learn.</p>|Data Design and Migration - proficiency in designing database model and migrating the data from source databases to target databases|Cybersecurity Assessment - proficiency to identify cybersecurity risk level and determine the maturity of their cybersecurity programs.|Network Security - proficiency in protecting of the underlying networking infrastructure from unauthorized access, misuse, or theft.|Penetration Testing - <p>proficiency in simulating cyber attack against computer system to check for exploitable vulnerabilities.</p>|Data Management Protection - proficiency in management and monitoring of data backup and protection services of a computer network or IT environment.|Coding - proficiency in computer language used to develop apps, websites, and software.","|Computer and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|Engineering and Technology - Knowledge of the practical application of engineering science and technology that applies principles, techniques, procedures, and equipment to the design of goods and services|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.","|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Conventional -Likes to involve in managing data, information, and processes.|Investigative -Likes to involve in theory, research, and intellectual inquiry.|Realistic - Likes to work outside, and do not involve a lot of paperwork or working closely with others.",https://emasco.mohr.gov.my/masco/MASCO Code : 1511-01
Information Technology Project Manager,12,"Information Technology Project Manager develops, maintains, and revises proposals for assigned information technology (IT) projects including project objectives, technologies, systems, information specifications, timelines, funding, and staffing.","|Planning, establishing, and managing information technology (IT) projects|Collecting, analyzing, and summarizing information and trends as needed to prepare project status reports|Coordinating production releases and roll-outs, delegating tasks to the necessary employees and presenting on projects’ progress and results|Developing, maintaining, and revising proposals for assigned projects including project objectives, technologies, systems, information specifications, timelines, funding, and staffing|Controlling the security of the information technology systems|Managing information technology development projects to ensure that they are completed on schedule, within budget and meet the level of quality to achieve the objective|Evaluating the organisation’s technology use and needs and recommending improvements such as hardware and software upgrades|Controlling the budget and expenditure of the department or organisation|Performing related tasks|Managing, planning, scheduling and monitoring the assignments of other employees","|Basic ICT - proficiency in using computers to retrieve, access, store, produce, present and exchange information.|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Reading Comprehension - Proficiency in understanding written sentences and paragraphs in work related documents.|Decision Making - proficiency in choosing between two or more alternatives.|Monitoring - Proficiency in monitoring/assessing performance of yourself, other individuals, or organisations to make improvements or take corrective action.","|Food Hygiene and Safety Standard - proficiency in regulation and standard that are designed to protect consumers from the risk of illness caused by eating unsafe foods such as Food Act 1983, Food Regulation 1985, GMP, HACCP etc.|Database Administration - proficiency in managing and maintaining database management systems (DBMS) software.|ICT Literacy - ability to search, analyze, evaluate, organize, create, use, manage and communicate information to solve ICT problems.|Machine Learning - <p>proficiency in application of artificial intelligence (AI) that provides systems the ability to automatically learn.</p>|Risk Assessment - proficiency in determining quantitative or qualitative risk related to a well-defined situation and recognized threat.|Data Design and Migration - proficiency in designing database model and migrating the data from source databases to target databases|Cybersecurity Assessment - proficiency to identify cybersecurity risk level and determine the maturity of their cybersecurity programs.|Internet literacy - ability to access, analyze, evaluate and create online content","|Computer and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|Engineering and Technology - Knowledge of the practical application of engineering science and technology that applies principles, techniques, procedures, and equipment to the design of goods and services|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.","|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Conventional -Likes to involve in managing data, information, and processes.|Investigative -Likes to involve in theory, research, and intellectual inquiry.|Realistic - Likes to work outside, and do not involve a lot of paperwork or working closely with others.",https://emasco.mohr.gov.my/masco/MASCO Code : 1511-22
Information Systems Manager,12,"Information Systems Manager responsible for the secure and effective operation of all computer systems, related applications, hardware and software that is used within a wide range of public and private sector organisations.","|Directing the formulation of information technology strategies, policies and plans|Implement technology, directing the work of systems and business analysts, developers, support specialists and other computer-related workers|Directing information technology operations, computer hardware integration, operating communications systems, software application and data processing|Guarantee the smooth running of all IT systems, including anti-virus software, print services and email provision|Controlling the security of the information technology systems|Managing information technology development projects to ensure that they are completed on schedule, within budget and meet the level of quality to achieve the objective|Evaluating the organisation’s technology use and needs and recommending improvements such as hardware and software upgrades|Controlling the budget and expenditure of the department or organisation|Overseeing the selection, training and performance of staff|Representing the department in its dealings with other divisions of the organisation or with external agencies|Performing related tasks|Managing, planning, scheduling and monitoring the tasks of other workers","|Basic ICT - proficiency in using computers to retrieve, access, store, produce, present and exchange information.|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Reading Comprehension - Proficiency in understanding written sentences and paragraphs in work related documents.|Decision Making - proficiency in choosing between two or more alternatives.|Monitoring - Proficiency in monitoring/assessing performance of yourself, other individuals, or organisations to make improvements or take corrective action.","|Database Administration - proficiency in managing and maintaining database management systems (DBMS) software.|ICT Literacy - ability to search, analyze, evaluate, organize, create, use, manage and communicate information to solve ICT problems.|Machine Learning - <p>proficiency in application of artificial intelligence (AI) that provides systems the ability to automatically learn.</p>|Data Design and Migration - proficiency in designing database model and migrating the data from source databases to target databases|Cybersecurity Assessment - proficiency to identify cybersecurity risk level and determine the maturity of their cybersecurity programs.|Network Security - proficiency in protecting of the underlying networking infrastructure from unauthorized access, misuse, or theft.|Penetration Testing - <p>proficiency in simulating cyber attack against computer system to check for exploitable vulnerabilities.</p>|Data Management Protection - proficiency in management and monitoring of data backup and protection services of a computer network or IT environment.|Computer Forensics - proficiency in the investigation of illegal or unauthorized activities or transactions made through computers or other digital media.","|Computer and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|Engineering and Technology - Knowledge of the practical application of engineering science and technology that applies principles, techniques, procedures, and equipment to the design of goods and services|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.","|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Conventional -Likes to involve in managing data, information, and processes.|Investigative -Likes to involve in theory, research, and intellectual inquiry.|Realistic - Likes to work outside, and do not involve a lot of paperwork or working closely with others.",https://emasco.mohr.gov.my/masco/MASCO Code : 1511-06
Full Stack Developer,14,"Full Stack Developer developing and designing front end web architecture, ensuring the responsiveness of applications, and working alongside graphic designers for web design features.",|Developing front end website architecture.|Designing user interactions on web pages.|Developing back-end website applications.|Creating servers and databases for functionality.|Ensuring cross-platform optimization for mobile phones.|Ensuring responsiveness of applications.|Working alongside graphic designers for web design features.|Seeing through a project from conception to finished product,"|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Complex Problem Solving - proficiency in identifying complex problems and reviewing related information to make assessments and implement solutions.|Reading Comprehension - Proficiency in understanding written sentences and paragraphs in work related documents.","|Web Design - proficiency in the creation of the website concept.|Food Safety - proficiency in food handling, preparation, and storage practices that preserve food quality to prevent contamination and food-borne diseases.|SQL - proficiency in a domain-specific language used in programming.|Debugging - proficiency in finding and resolving of defects that prevent correct operations of computer software or a system.|Web Platform Development Software - proficiency in using Django ; JavaScript Object Notation JSON ; Oracle JavaServer Pages JSP ; PHP: Hypertext Preprocessor|Website Management - proficiency in the administration and control of the hardware and software used in a web site.|Troubleshooting - ability to repair failed products or processes on a machine or a system.|Cloud Computing - proficiency in storing and accessing data and programs over the internet.|Machine Learning - <p>proficiency in application of artificial intelligence (AI) that provides systems the ability to automatically learn.</p>|Business Intelligence (BI) - proficiency in using technologies, applications and practices for the collection, integration, analysis, and presentation of information.","|Computer and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.|Mathematics - Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.|Communications and Media - Knowledge of media production, communication, and dissemination techniques and methods.","|Conventional -Likes to involve in managing data, information, and processes.|Investigative -Likes to involve in theory, research, and intellectual inquiry.|Realistic - Likes to work outside, and do not involve a lot of paperwork or working closely with others.|Artistic -Likes to involve in art, design, language, and self-expression.",https://emasco.mohr.gov.my/masco/MASCO Code : 2513-07
Website Developer,14,"Website Developer combine design and technical knowledge to study, analyse, evaluate, design, programme and modify websites and applications that display text, graphics, animation, imaging, audio and video, and other interactive media.","|Analysing, designing and developing Internet sites applying a mixture of artistry and creativity with software programming and scripting languages and interfacing with operating environments|Designing and developing digital animation, imaging, presentations, games, audio and video clips, and Internet applications using multimedia software, tools and utilities, interactive graphics and programming languages|Communicating with network specialists regarding web-related issues such as security and hosting websites to control and enforce Internet and web server security, space allocation, user access, business continuity, website backup and disaster recovery planning|Assisting in analyzing, setting, and developing Internet strategies, web base methodologies, and development plans|Improving understanding and coordinating work execution|Performing related tasks","|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Complex Problem Solving - proficiency in identifying complex problems and reviewing related information to make assessments and implement solutions.|Reading Comprehension - Proficiency in understanding written sentences and paragraphs in work related documents.","|Web Design - proficiency in the creation of the website concept.|Food Safety - proficiency in food handling, preparation, and storage practices that preserve food quality to prevent contamination and food-borne diseases.|SQL - proficiency in a domain-specific language used in programming.|Debugging - proficiency in finding and resolving of defects that prevent correct operations of computer software or a system.|Web Platform Development Software - proficiency in using Django ; JavaScript Object Notation JSON ; Oracle JavaServer Pages JSP ; PHP: Hypertext Preprocessor|Website Management - proficiency in the administration and control of the hardware and software used in a web site.|Troubleshooting - ability to repair failed products or processes on a machine or a system.|Cloud Computing - proficiency in storing and accessing data and programs over the internet.|Machine Learning - <p>proficiency in application of artificial intelligence (AI) that provides systems the ability to automatically learn.</p>|Business Intelligence (BI) - proficiency in using technologies, applications and practices for the collection, integration, analysis, and presentation of information.","|Computer and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.|Mathematics - Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.|Communications and Media - Knowledge of media production, communication, and dissemination techniques and methods.","|Conventional -Likes to involve in managing data, information, and processes.|Investigative -Likes to involve in theory, research, and intellectual inquiry.|Realistic - Likes to work outside, and do not involve a lot of paperwork or working closely with others.|Artistic -Likes to involve in art, design, language, and self-expression.",https://emasco.mohr.gov.my/masco/MASCO Code : 2513-01
Systems Tester,14,"Systems Tester develop and execute software tests to identify software problems and their causes and participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.","|Developing and documenting software testing plans|Installing software and hardware and configuring operating system software in preparation for testing|Verifying that programme functions are according to user requirements and established guidelines|Executing, analysing and documenting results of software application tests and information and telecommunication system tests|Improving understanding and coordinating work execution|Performing related tasks","|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Reading Comprehension - Proficiency in understanding written sentences and paragraphs in work related documents.|Speaking - Proficiency in communicating effectively as well as convey information verbally and in a way that can understand.|Active Listening - Proficiency in giving full attention to what other people are saying, taking time to understand the points being made and asking questions as appropriate.","|Analysis - ability to collect and analyze information, problem-solve, and make decisions.|Debugging - proficiency in finding and resolving of defects that prevent correct operations of computer software or a system.|.NET - Proficiency in using software framework developed by Microsoft that runs primarily on Microsoft Windows.|Testing Skills - ability to perform tests to ensure that a product will perform under the specified standard|Data Validation - proficiency in ensuring that a program operates on clean, correct and useful data.|Failure Analysis - proficiency in collecting and analyzing data to determine the cause of a failure|Security Assessment - proficiency to identify the current security posture of an information system or organization.|Troubleshooting - ability to repair failed products or processes on a machine or a system.|Cloud Computing - proficiency in storing and accessing data and programs over the internet.|Computer Forensics - proficiency in the investigation of illegal or unauthorized activities or transactions made through computers or other digital media.","|Computer and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.|Engineering and Technology - Knowledge of the practical application of engineering science and technology that applies principles, techniques, procedures, and equipment to the design of goods and services|Mathematics - Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.","|Investigative -Likes to involve in theory, research, and intellectual inquiry.|Conventional -Likes to involve in managing data, information, and processes.|Realistic - Likes to work outside, and do not involve a lot of paperwork or working closely with others.",https://emasco.mohr.gov.my/masco/MASCO Code : 2519-02
Software Programmer,14,Software Programmer write and maintain programmable code outlined in technical instructions and specifications for software applications and operating systems.,"|Writing and maintaining the program code outlined in instructions and specifications in accordance with quality accredited standards|Revising, repairing or expanding existing programs to increase operating efficiency or adapt to new requirements|Conducting trial runs of programs and software applications to confirm that they will produce the desired information|Compiling and writing documentation of program development|Improving understanding and coordinating work execution|Performing related tasks","|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Complex Problem Solving - proficiency in identifying complex problems and reviewing related information to make assessments and implement solutions.|Active Listening - Proficiency in giving full attention to what other people are saying, taking time to understand the points being made and asking questions as appropriate.","|JavaScript - proficiency in using scripting or programming language that allows it to implement complex features on web pages.|Food Safety - proficiency in food handling, preparation, and storage practices that preserve food quality to prevent contamination and food-borne diseases.|Java - proficiency in setting of computer software that provides a system for developing application software and deploying it in a cross-platform computing environment.|CSS - proficiency in using web page, Cascading Style Sheet (CSS) derived from multiple sources with a defined order of precedence where the definitions of any style element conflict.|SQL - proficiency in a domain-specific language used in programming.|MySQL - proficiency in using relational database management system (RDBMS).|HTML5 - proficiency in the standard programming language to describe the contents and appearance of web pages.|.NET - Proficiency in using software framework developed by Microsoft that runs primarily on Microsoft Windows.|Troubleshooting - ability to repair failed products or processes on a machine or a system.|Cloud Computing - proficiency in storing and accessing data and programs over the internet.|Machine Learning - <p>proficiency in application of artificial intelligence (AI) that provides systems the ability to automatically learn.</p>|Development Environment Software - proficiency in using software application that provides comprehensive facilities to computer programmers for software development","|Computer and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming|Mathematics - Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.|Engineering and Technology - Knowledge of the practical application of engineering science and technology that applies principles, techniques, procedures, and equipment to the design of goods and services|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.","|Investigative -Likes to involve in theory, research, and intellectual inquiry.|Conventional -Likes to involve in managing data, information, and processes.",https://emasco.mohr.gov.my/masco/MASCO Code : 2514-02
Information Security Officer,12,"Information Security Officer plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.","|Providing the support, administration, and maintenance necessary to ensure effective and efficient information technology system performance and security|Providing leadership, management, direction, or development and advocacy so the organization may effectively conduct cybersecurity work|Identifying, analyzing, and mitigates threats to internal information technology systems and/or networks|Performing highly-specialized review and evaluation of incoming cybersecurity information to determine its usefulness for intelligence|Providing specialized denial and deception operations and collection of cybersecurity information that may be used to develop intelligence|Investigating cybersecurity events or crimes related to information technology systems, networks, and digital evidence|Providing specific denial and fraud operations and the collection of cyber security information that may be used to develop intelligence|Investigating cyber security incidents or crimes related to information technology systems, networks, and digital evidence","|Reading Comprehension - Proficiency in understanding written sentences and paragraphs in work related documents.|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Active Listening - Proficiency in giving full attention to what other people are saying, taking time to understand the points being made and asking questions as appropriate.|Complex Problem Solving - proficiency in identifying complex problems and reviewing related information to make assessments and implement solutions.|Speaking - Proficiency in communicating effectively as well as convey information verbally and in a way that can understand.","|Analysis - ability to collect and analyze information, problem-solve, and make decisions.|Penetration Testing - <p>proficiency in simulating cyber attack against computer system to check for exploitable vulnerabilities.</p>|Vulnerability Assessment - ability to identifying, quantifying, and prioritizing (or ranking) the vulnerabilities in a system.|JavaScript - proficiency in using scripting or programming language that allows it to implement complex features on web pages.|Malware analysis - <p>proficiency in determining the functionality, origin and potential impact of a given malware sample.</p>|Intrusion Detection - <p>proficiency in using a device or software application to monitor a network or system for malicious activity or policy violations.</p>|Security Assessment - proficiency to identify the current security posture of an information system or organization.|Cybersecurity Assessment - proficiency to identify cybersecurity risk level and determine the maturity of their cybersecurity programs.","|Computer and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|Engineering and Technology - Knowledge of the practical application of engineering science and technology that applies principles, techniques, procedures, and equipment to the design of goods and services|Telecommunications - knowledge of transmission, broadcasting, switching, control and operation of telecommunications systems","|Conventional -Likes to involve in managing data, information, and processes.|Investigative -Likes to involve in theory, research, and intellectual inquiry.|Realistic - Likes to work outside, and do not involve a lot of paperwork or working closely with others.",https://emasco.mohr.gov.my/masco/MASCO Code : 2531-20
Database Administrator,14,"Database Administrator design, develop, control, maintain and support the optimal performance and security of databases.","|Designing and developing database architecture and structures for information system projects|Designing constructing, modifying, integrating, implementing and testing database management systems|Conducting research and advising on the selection, application and implementation of database management tools|Developing and implementing data administration policy, documentation, standards and models|Improving understanding and coordinating work execution|Performing related tasks","|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Decision Making - proficiency in choosing between two or more alternatives.|Reading Comprehension - Proficiency in understanding written sentences and paragraphs in work related documents.|Active Listening - Proficiency in giving full attention to what other people are saying, taking time to understand the points being made and asking questions as appropriate.|Complex Problem Solving - proficiency in identifying complex problems and reviewing related information to make assessments and implement solutions.","|Analysis - ability to collect and analyze information, problem-solve, and make decisions.|SQL - proficiency in a domain-specific language used in programming.|MySQL - proficiency in using relational database management system (RDBMS).|Oracle - proficiency in using database management system produced and marketed by Oracle Corporation.|Database Administration - proficiency in managing and maintaining database management systems (DBMS) software.|Analytics - <p>ability to deconstruct information into smaller categories in order to draw conclusions.</p>|Database Design - proficiency in producing a detailed data model of database.|Database Management - proficiency in manipulating and controlling data to meet necessary conditions throughout the entire data lifecycle|Data Warehousing - proficiency in securing electronic storage of information|Data Migration - proficiency in transferring data between computer storage types or file formats.|Data Management Protection - proficiency in management and monitoring of data backup and protection services of a computer network or IT environment.|Cloud Computing - proficiency in storing and accessing data and programs over the internet.","|Computer and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.|Design - Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models|Mathematics - Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.|Engineering and Technology - Knowledge of the practical application of engineering science and technology that applies principles, techniques, procedures, and equipment to the design of goods and services","|Investigative -Likes to involve in theory, research, and intellectual inquiry.|Conventional -Likes to involve in managing data, information, and processes.|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.",https://emasco.mohr.gov.my/masco/MASCO Code : 2521-03
Computer Support Engineer,14,"Computer Support Engineer research, design, develop, and train artificial intelligence algorithms and machine learning primitives that understand the content of digital images based on a large amount of data. They apply this understanding to solve different real-world problems such as security, autonomous driving, robotic manufacturing, digital image classification, medical image processing and diagnosis, etc.","|Maintaining and administering computer networks and related computing environments including computer hardware, system software, application software and all configurations|Recommending changes to improve systems and network configurations, and determining hardware or software requirements related to such changes|Diagnosing hardware and software problems|Performing data backup and disaster recovery operation|Operating master consoles to monitor the performance of computer systems and networks, and coordinating computer network access and use|Improving understanding and coordinating work execution|Performing related tasks","|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Active Listening - Proficiency in giving full attention to what other people are saying, taking time to understand the points being made and asking questions as appropriate.|Reading Comprehension - Proficiency in understanding written sentences and paragraphs in work related documents.|Decision Making - proficiency in choosing between two or more alternatives.|Monitoring - Proficiency in monitoring/assessing performance of yourself, other individuals, or organisations to make improvements or take corrective action.","|Food Safety - proficiency in food handling, preparation, and storage practices that preserve food quality to prevent contamination and food-borne diseases.|System Administration - proficiency in the upkeep, configuration, and reliable operation of computer systems.|System Design - proficiency in defining the architecture, modules, interfaces, and data for a system to satisfy specified requirements.|Network Administration - <p>proficiency in administering and managing the computer networks of one or many organisations.</p>|Database Administration - proficiency in managing and maintaining database management systems (DBMS) software.|Security Assessment - proficiency to identify the current security posture of an information system or organization.|Troubleshooting - ability to repair failed products or processes on a machine or a system.|Cloud Computing - proficiency in storing and accessing data and programs over the internet.|Computer Forensics - proficiency in the investigation of illegal or unauthorized activities or transactions made through computers or other digital media.","|Computer and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|Engineering and Technology - Knowledge of the practical application of engineering science and technology that applies principles, techniques, procedures, and equipment to the design of goods and services|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.","|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Conventional -Likes to involve in managing data, information, and processes.|Investigative -Likes to involve in theory, research, and intellectual inquiry.|Realistic - Likes to work outside, and do not involve a lot of paperwork or working closely with others.",https://emasco.mohr.gov.my/masco/MASCO Code : 2522-14
Information Technology Executive,14,"Information Technology Executive responsible for overseeing the overall IT strategy, direction, and management within an organization. This role involves both strategic and operational responsibilities, and IT Executives play a crucial role in aligning technology initiatives with business goals.","|Maintaining and administering computer networks and related computing environments including computer hardware, system software, application software and all configurations|Recommending changes to improve systems and network configurations, and determining hardware or software requirements related to such changes|Diagnosing hardware and software problems|Performing data backup and disaster recovery operation|Operating master consoles to monitor the performance of computer systems and networks, and coordinating computer network access and use|Improving understanding and coordinating work execution|Performing related tasks","|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Active Listening - Proficiency in giving full attention to what other people are saying, taking time to understand the points being made and asking questions as appropriate.|Reading Comprehension - Proficiency in understanding written sentences and paragraphs in work related documents.|Decision Making - proficiency in choosing between two or more alternatives.|Monitoring - Proficiency in monitoring/assessing performance of yourself, other individuals, or organisations to make improvements or take corrective action.","|Food Safety - proficiency in food handling, preparation, and storage practices that preserve food quality to prevent contamination and food-borne diseases.|System Administration - proficiency in the upkeep, configuration, and reliable operation of computer systems.|System Design - proficiency in defining the architecture, modules, interfaces, and data for a system to satisfy specified requirements.|Network Administration - <p>proficiency in administering and managing the computer networks of one or many organisations.</p>|Database Administration - proficiency in managing and maintaining database management systems (DBMS) software.|Security Assessment - proficiency to identify the current security posture of an information system or organization.|Troubleshooting - ability to repair failed products or processes on a machine or a system.|Cloud Computing - proficiency in storing and accessing data and programs over the internet.|Computer Forensics - proficiency in the investigation of illegal or unauthorized activities or transactions made through computers or other digital media.","|Computer and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|Engineering and Technology - Knowledge of the practical application of engineering science and technology that applies principles, techniques, procedures, and equipment to the design of goods and services|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.","|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Conventional -Likes to involve in managing data, information, and processes.|Investigative -Likes to involve in theory, research, and intellectual inquiry.|Realistic - Likes to work outside, and do not involve a lot of paperwork or working closely with others.",https://emasco.mohr.gov.my/masco/MASCO Code : 2522-11
